Bram STEENAART POSITION,Bram STEENAART LAP TIME,Bram STEENAART ELAPSED TIME,Reinis BERZINS POSITION,Reinis BERZINS LAP TIME,Reinis BERZINS ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Mateusz KRZEMINSKI POSITION,Mateusz KRZEMINSKI LAP TIME,Mateusz KRZEMINSKI ELAPSED TIME,DION Pascal POSITION,DION Pascal LAP TIME,DION Pascal ELAPSED TIME,Metehan ATAN POSITION,Metehan ATAN LAP TIME,Metehan ATAN ELAPSED TIME
1,8.46,,2,8.63,8.63,3,8.67,8.67,7,9.34,9.34,4,8.76,,5,8.98,8.98,6,9.03,9.03
1,11.38,,7,12.00,20.63,6,11.90,20.57,5,11.07,20.41,2,11.29,,3,11.21,20.19,4,11.24,20.27
1,11.23,,7,11.18,31.81,6,11.10,31.67,5,11.15,31.56,2,11.13,,3,11.09,31.28,4,11.12,31.39
1,11.31,,6,11.18,42.99,7,11.33,43.00,5,11.30,42.86,2,11.30,,3,11.31,42.59,4,11.27,42.66
1,10.99,,2,10.46,53.45,7,10.93,53.93,6,10.91,53.77,3,10.98,,4,10.98,53.57,5,10.97,53.63
2,10.21,,3,10.27,1:03.72,7,10.22,1:04.15,1,9.77,1:03.54,4,10.38,,5,10.38,1:03.95,6,10.44,1:04.07
2,9.54,,3,9.51,1:13.23,7,9.52,1:13.67,1,9.50,1:13.04,4,9.49,,5,9.47,1:13.42,6,9.42,1:13.49
2,9.53,,3,9.53,1:22.76,7,9.44,1:23.11,1,9.52,1:22.56,6,9.73,,4,9.43,1:22.85,5,9.44,1:22.93
5,9.71,,4,9.56,1:32.32,7,9.49,1:32.60,1,9.32,1:31.88,6,9.42,,2,9.35,1:32.20,3,9.37,1:32.30
4,9.07,,5,9.27,1:41.59,7,9.57,1:42.17,1,9.02,1:40.90,6,9.26,,2,8.96,1:41.16,3,9.00,1:41.30
3,8.76,,5,8.85,1:50.44,7,10.62,1:52.79,1,8.95,1:49.85,6,9.11,,2,8.78,1:49.94,4,9.00,1:50.30
3,8.82,,5,8.96,1:59.40,7,11.40,2:04.19,1,8.75,1:58.60,6,9.57,,2,8.77,1:58.71,4,8.91,1:59.21
3,8.99,,5,9.62,2:09.02,7,12.48,2:16.67,1,8.80,2:07.40,6,9.97,,2,8.80,2:07.51,4,9.00,2:08.21
3,9.33,,5,10.98,2:20.00,7,14.31,2:30.98,1,9.09,2:16.49,6,10.61,,2,9.16,2:16.67,4,9.31,2:17.52
