SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,Dan IWASA POSITION,Dan IWASA LAP TIME,Dan IWASA ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME
3,13.91,13.91,5,14.38,14.38,4,14.25,14.25,1,13.72,13.72,2,13.73,13.73
1,10.57,24.48,4,10.47,24.85,5,10.98,25.23,2,11.02,24.74,3,11.01,24.74
3,10.18,34.66,5,10.25,35.10,4,9.73,34.96,1,9.85,34.59,2,9.85,34.59
1,9.51,44.17,4,9.33,44.43,5,9.61,44.57,2,9.75,44.34,3,9.77,44.36
1,9.43,53.60,3,9.39,53.82,5,9.32,53.89,2,9.47,53.81,4,9.46,53.82
5,9.05,1:02.65,3,8.73,1:02.55,4,8.73,1:02.62,1,8.60,1:02.41,2,8.61,1:02.43
1,8.64,1:11.29,5,9.41,1:11.96,2,9.03,1:11.65,4,9.30,1:11.71,3,9.27,1:11.70
4,9.42,1:20.71,3,8.72,1:20.68,5,9.09,1:20.74,1,8.60,1:20.31,2,8.63,1:20.33
3,9.49,1:30.195,0,,PEN,1,9.29,1:30.021,2,9.83,1:30.140,4,10.70,1:31.028
