ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,Rafal GRYCNER POSITION,Rafal GRYCNER LAP TIME,Rafal GRYCNER ELAPSED TIME,Soo An YOO POSITION,Soo An YOO LAP TIME,Soo An YOO ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME
2,15.02,15.02,1,14.89,14.89,3,15.15,15.15,4,15.32,15.32
1,12.05,27.07,2,12.27,27.16,3,12.17,27.32,4,12.02,27.34
2,10.66,37.73,3,10.67,37.83,1,10.38,37.70,4,10.64,37.98
2,9.82,47.55,3,9.83,47.66,1,9.75,47.45,4,9.80,47.78
2,9.41,56.96,4,9.69,57.35,1,9.31,56.76,3,9.38,57.16
2,8.78,1:05.74,4,9.20,1:06.55,1,8.89,1:05.65,3,8.81,1:05.97
2,9.00,1:14.74,4,9.23,1:15.78,1,9.01,1:14.66,3,8.77,1:14.74
3,9.05,1:23.79,4,9.50,1:25.28,2,9.04,1:23.70,1,8.74,1:23.48
4,17.98,1:41.765,3,9.66,1:34.936,2,9.30,1:32.994,1,8.97,1:32.446
