Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Charles Ryan LEVEILLE POSITION,Charles Ryan LEVEILLE LAP TIME,Charles Ryan LEVEILLE ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Oliver HORSEPOOL POSITION,Oliver HORSEPOOL LAP TIME,Oliver HORSEPOOL ELAPSED TIME,Fumihiko KAKUBARI POSITION,Fumihiko KAKUBARI LAP TIME,Fumihiko KAKUBARI ELAPSED TIME
3,12.61,12.61,4,12.64,12.64,1,12.49,12.49,5,12.87,12.87,2,12.50,12.50
1,9.18,21.79,3,9.41,22.05,2,9.43,21.92,5,9.38,22.26,4,9.68,22.18
1,9.52,31.31,2,9.63,31.68,3,9.78,31.71,5,9.71,31.97,4,9.68,31.86
1,9.57,40.89,2,9.27,40.96,4,9.44,41.15,5,9.37,41.34,3,9.26,41.12
1,9.20,50.09,2,9.18,50.15,3,9.09,50.25,5,9.24,50.58,4,9.27,50.40
2,9.06,59.16,1,8.96,59.11,3,9.01,59.27,5,9.13,59.71,4,9.01,59.42
1,9.03,1:08.19,3,9.32,1:08.44,2,9.13,1:08.40,5,9.42,1:09.14,4,9.25,1:08.67
2,9.62,1:17.82,1,9.20,1:17.64,3,9.49,1:17.89,5,9.57,1:18.71,4,9.26,1:17.93
4,9.90,1:27.714,1,9.52,1:27.160,2,9.51,1:27.394,5,10.23,1:28.939,3,9.50,1:27.425
