de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,KIM Ji Yoo POSITION,KIM Ji Yoo LAP TIME,KIM Ji Yoo ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME
1,12.88,12.88,3,13.20,13.20,2,13.00,13.00,4,13.37,13.37,5,13.53,13.53
1,9.85,22.73,3,9.80,23.00,2,9.86,22.86,4,9.75,23.12,4,9.59,23.12
1,9.88,32.61,3,9.74,32.74,2,9.82,32.68,5,9.88,33.00,4,9.75,32.87
2,9.64,42.25,1,9.40,42.14,3,9.69,42.37,5,9.57,42.57,4,9.59,42.46
2,9.68,51.93,1,9.70,51.84,3,9.57,51.94,5,9.61,52.18,4,9.62,52.08
4,9.78,1:01.71,1,9.55,1:01.39,2,9.57,1:01.51,5,9.58,1:01.76,3,9.55,1:01.63
4,9.64,1:11.35,1,9.63,1:11.02,2,9.62,1:11.13,5,9.79,1:11.55,3,9.58,1:11.21
4,9.68,1:21.03,1,9.70,1:20.72,2,9.70,1:20.83,5,9.68,1:21.23,3,9.70,1:20.91
4,9.76,1:30.796,1,9.82,1:30.54,2,9.82,1:30.65,5,9.97,1:31.201,3,9.80,1:30.71
