DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME,UZAKOVA Mariia-Mahdalyna POSITION,UZAKOVA Mariia-Mahdalyna LAP TIME,UZAKOVA Mariia-Mahdalyna ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME
2,7.73,7.73,4,8.08,8.08,1,7.59,7.59,3,7.95,7.95
2,9.77,17.50,4,10.13,18.21,1,9.71,17.30,3,9.59,17.54
3,9.80,27.30,4,9.91,28.12,1,9.07,26.37,2,8.99,26.53
3,9.56,36.86,4,10.14,38.26,1,9.21,35.58,2,9.20,35.73
3,9.63,46.490,4,10.57,48.808,1,9.53,45.089,2,9.43,45.135
