Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME
2,8.31,8.31,3,8.68,8.68,1,8.13,8.13,5,8.87,8.87,4,8.86,8.86
3,12.22,20.53,4,12.07,20.75,2,12.22,20.35,5,11.93,20.81,1,11.30,20.16
3,11.70,32.23,5,11.80,32.55,2,11.86,32.21,4,11.53,32.34,1,11.97,32.13
3,10.52,42.76,4,10.37,42.93,1,10.03,42.25,0,,,2,10.47,42.61
4,10.08,52.85,5,10.00,52.93,2,10.24,52.49,1,0.00,52.47,3,10.09,52.70
4,10.07,1:02.92,5,10.29,1:03.22,3,10.26,1:02.76,1,10.19,1:02.66,2,10.04,1:02.75
4,29.08,1:32.01,2,9.86,1:13.09,1,9.52,1:12.28,3,20.33,1:22.99,5,1:18.22,2:20.97
4,23.31,1:55.32,2,10.11,1:23.20,1,9.85,1:22.14,3,9.94,1:32.93,5,19.25,2:40.22
4,11.96,2:07.28,2,10.65,1:33.85,1,10.51,1:32.65,3,9.96,1:42.89,5,14.62,2:54.85
3,11.19,2:18.48,2,10.07,1:43.92,1,10.38,1:43.04,0,,,4,11.75,3:06.60
4,10.78,2:29.26,3,9.61,1:53.54,2,9.76,1:52.80,1,0.00,1:52.78,5,11.74,3:18.34
4,10.63,2:39.89,3,9.23,2:02.77,1,9.67,2:02.47,2,9.69,2:02.47,5,11.93,3:30.28
4,10.71,2:50.61,1,9.13,2:11.91,2,9.64,2:12.12,3,9.65,2:12.13,5,12.00,3:42.28
4,23.58,3:14.185,3,9.95,2:21.858,2,9.69,2:21.810,1,9.67,2:21.794,0,,DQ
