GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Tarik OMERAGIC POSITION,Tarik OMERAGIC LAP TIME,Tarik OMERAGIC ELAPSED TIME,SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,MURPHY Peter POSITION,MURPHY Peter LAP TIME,MURPHY Peter ELAPSED TIME
3,7.31,7.31,1,7.07,7.07,4,7.38,7.38,2,7.27,7.27,5,7.63,7.63
5,9.76,17.07,1,8.97,16.04,3,9.30,16.68,2,8.94,16.21,4,9.40,17.03
5,9.14,26.21,1,8.49,24.53,3,8.82,25.50,2,8.44,24.65,4,9.08,26.11
5,9.21,35.42,1,8.61,33.14,3,9.04,34.54,2,8.57,33.22,4,9.19,35.30
5,10.06,45.48,2,8.87,42.01,3,9.28,43.82,1,8.68,41.90,4,9.99,45.29
