Rozsa DARAZS POSITION,Rozsa DARAZS LAP TIME,Rozsa DARAZS ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,Vera ANTANENKA POSITION,Vera ANTANENKA LAP TIME,Vera ANTANENKA ELAPSED TIME
4,10.15,10.15,2,10.04,10.04,5,10.55,10.55,1,9.91,9.91,3,10.09,10.09
3,16.02,26.17,2,15.96,26.00,5,15.91,26.46,1,15.96,25.87,4,16.25,26.34
3,15.23,41.40,2,15.28,41.28,5,15.38,41.84,1,15.20,41.07,4,15.26,41.60
3,14.34,55.74,2,14.30,55.58,5,14.29,56.13,1,14.34,55.41,4,14.38,55.98
3,12.53,1:08.27,2,12.64,1:08.22,5,12.57,1:08.70,1,12.71,1:08.12,4,12.44,1:08.42
1,10.09,1:18.36,3,10.41,1:18.63,5,10.41,1:19.11,2,10.37,1:18.49,4,10.31,1:18.73
1,10.50,1:28.86,3,10.46,1:29.09,5,10.27,1:29.38,2,10.49,1:28.98,4,10.47,1:29.20
1,10.70,1:39.56,3,10.73,1:39.82,5,10.67,1:40.05,2,10.71,1:39.69,4,10.71,1:39.91
1,10.79,1:50.35,3,10.70,1:50.52,5,10.68,1:50.73,2,10.74,1:50.43,4,10.67,1:50.58
2,10.41,2:00.76,3,10.36,2:00.88,5,10.40,2:01.13,1,10.22,2:00.65,4,10.42,2:01.00
2,10.06,2:10.82,3,10.07,2:10.95,5,10.05,2:11.18,1,10.10,2:10.75,4,10.08,2:11.08
2,9.85,2:20.67,3,9.79,2:20.74,4,9.72,2:20.90,1,9.78,2:20.53,5,9.91,2:20.99
4,9.73,2:30.40,3,9.49,2:30.23,2,9.32,2:30.22,1,9.53,2:30.06,5,9.98,2:30.97
4,10.42,2:40.820,3,9.82,2:40.050,1,9.32,2:39.532,2,9.70,2:39.752,5,10.40,2:41.366
