Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,Claudio RINALDI POSITION,Claudio RINALDI LAP TIME,Claudio RINALDI ELAPSED TIME
1,8.73,25.01,2,8.84,25.26,4,8.99,25.67,3,8.53,25.57
2,8.96,33.98,1,8.69,33.95,3,8.34,34.01,4,8.62,34.19
2,9.22,43.195,1,9.19,43.137,4,9.99,43.999,3,9.13,43.318
