Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Emil KARNEEV POSITION,Emil KARNEEV LAP TIME,Emil KARNEEV ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME
2,13.45,13.45,4,13.78,13.78,3,13.49,13.49,1,13.36,13.36
3,11.16,24.61,4,10.95,24.73,1,10.95,24.44,2,11.15,24.51
3,11.27,35.88,4,11.34,36.07,1,11.22,35.66,2,11.26,35.77
3,10.84,46.72,4,10.89,46.96,2,10.96,46.62,1,10.85,46.62
3,9.42,56.14,2,9.14,56.10,4,9.53,56.15,1,9.44,56.06
2,9.14,1:05.28,1,9.02,1:05.12,4,9.43,1:05.58,3,9.32,1:05.38
2,8.91,1:14.19,1,8.95,1:14.07,4,8.99,1:14.57,3,9.00,1:14.38
1,9.02,1:23.21,2,9.18,1:23.25,4,9.57,1:24.14,3,9.04,1:23.42
1,9.40,1:32.602,2,9.49,1:32.740,4,10.37,1:34.501,3,9.43,1:32.844
