WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Natsagnyam DUUREN POSITION,Natsagnyam DUUREN LAP TIME,Natsagnyam DUUREN ELAPSED TIME
2,16.498,16.498,1,16.301,16.301,3,16.851,16.851
2,13.535,30.033,1,13.456,29.757,3,13.437,30.288
3,13.365,43.398,2,13.508,43.264,1,12.943,43.230
2,12.658,56.055,1,12.130,55.394,3,12.899,56.128
3,12.527,1:08.581,1,12.985,1:08.379,2,12.369,1:08.496
2,12.319,1:20.900,1,12.086,1:20.464,3,13.167,1:21.663
2,12.046,1:32.946,1,11.994,1:32.457,3,13.128,1:34.791
2,11.225,1:44.170,1,11.229,1:43.686,3,13.633,1:48.424
1,10.78,1:54.942,2,11.84,1:55.522,3,13.82,2:02.239
