Josephine MESCHNIK POSITION,Josephine MESCHNIK LAP TIME,Josephine MESCHNIK ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME
1,13.45,13.45,3,13.77,13.77,2,13.62,13.62
1,10.36,23.81,3,10.23,24.00,2,10.29,23.91
1,10.17,33.98,3,10.21,34.21,2,10.15,34.06
1,10.24,44.22,3,10.22,44.43,2,10.25,44.31
1,10.40,54.62,3,10.36,54.79,2,10.38,54.69
2,10.49,1:05.11,3,10.47,1:05.26,1,10.39,1:05.08
3,10.19,1:15.30,2,9.91,1:15.17,1,9.97,1:15.05
3,10.49,1:25.79,2,9.92,1:25.09,1,9.92,1:24.97
3,10.79,1:36.577,2,9.77,1:34.856,1,9.77,1:34.735
