Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Daniel ZETZSCHE POSITION,Daniel ZETZSCHE LAP TIME,Daniel ZETZSCHE ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME
1,9.85,9.85,3,10.03,10.03,4,10.23,10.23,5,10.35,10.35,2,9.92,9.92,6,10.52,10.52
1,12.72,22.57,3,12.69,22.72,6,12.69,22.92,4,12.48,22.83,2,12.66,22.58,5,12.38,22.90
2,11.40,33.97,4,11.41,34.13,1,10.89,33.81,5,11.41,34.24,3,11.47,34.05,6,11.54,34.44
4,10.97,44.94,1,10.43,44.56,2,10.86,44.67,5,10.78,45.02,3,10.72,44.77,6,10.73,45.17
4,10.67,55.61,1,10.68,55.24,2,10.76,55.43,5,10.67,55.69,3,10.76,55.53,6,10.63,55.80
1,10.31,1:05.92,2,10.77,1:06.01,4,10.84,1:06.27,6,10.66,1:06.35,3,10.60,1:06.13,5,10.49,1:06.29
1,10.10,1:16.02,3,10.08,1:16.09,6,10.19,1:16.46,2,9.67,1:16.02,4,10.08,1:16.21,5,10.06,1:16.35
2,9.68,1:25.70,3,9.71,1:25.80,5,9.54,1:26.00,1,9.54,1:25.56,4,9.60,1:25.81,6,9.80,1:26.15
2,9.90,1:35.60,5,10.15,1:35.95,3,9.69,1:35.69,1,9.86,1:35.42,6,14.96,1:40.77,4,9.72,1:35.87
1,9.38,1:44.98,4,9.48,1:45.43,3,9.55,1:45.24,2,9.75,1:45.17,6,12.74,1:53.51,5,9.61,1:45.48
1,9.35,1:54.33,3,9.26,1:54.69,4,9.54,1:54.78,2,9.23,1:54.40,6,13.27,2:06.78,5,9.77,1:55.25
1,9.18,2:03.51,3,9.13,2:03.82,4,9.41,2:04.19,2,9.18,2:03.58,6,12.71,2:19.49,5,9.80,2:05.05
1,9.16,2:12.67,3,9.21,2:13.03,4,9.48,2:13.67,2,9.17,2:12.75,6,12.91,2:32.40,5,10.45,2:15.50
1,9.10,2:21.763,3,9.61,2:22.633,4,9.82,2:23.485,2,9.21,2:21.953,0,,PEN,5,11.13,2:26.627
