LIN Xian-You POSITION,LIN Xian-You LAP TIME,LIN Xian-You ELAPSED TIME,Georgi ORLOV POSITION,Georgi ORLOV LAP TIME,Georgi ORLOV ELAPSED TIME,KIM Si Un POSITION,KIM Si Un LAP TIME,KIM Si Un ELAPSED TIME,LUEDTKE Adrian POSITION,LUEDTKE Adrian LAP TIME,LUEDTKE Adrian ELAPSED TIME,Thomas Insuk HONG POSITION,Thomas Insuk HONG LAP TIME,Thomas Insuk HONG ELAPSED TIME
2,7.19,7.19,4,7.30,7.30,1,7.06,7.06,3,7.29,7.29,5,7.39,7.39
2,9.27,16.46,3,9.28,16.58,1,9.03,16.09,5,9.49,16.78,4,9.22,16.61
3,8.93,25.39,5,18.89,35.47,1,8.64,24.73,4,8.86,25.64,2,8.61,25.22
4,9.10,34.49,5,11.85,47.32,1,8.67,33.40,3,8.83,34.47,2,8.51,33.73
4,9.31,43.80,5,11.85,59.149,1,8.79,42.19,3,9.08,43.531,2,8.64,42.37
