AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME,Kuandyk SULEYMENOV POSITION,Kuandyk SULEYMENOV LAP TIME,Kuandyk SULEYMENOV ELAPSED TIME,Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME
1,12.84,12.84,2,12.99,12.99,3,13.11,13.11
2,10.85,23.69,1,10.42,23.41,3,10.71,23.82
2,9.45,33.14,1,9.58,32.99,3,9.49,33.31
2,9.30,42.44,1,9.37,42.36,3,9.21,42.52
2,9.66,52.10,1,9.67,52.03,3,9.68,52.20
2,9.76,1:01.86,1,9.74,1:01.77,3,9.77,1:01.97
2,9.41,1:11.27,1,9.41,1:11.18,3,9.42,1:11.39
1,9.26,1:20.53,2,9.57,1:20.75,3,9.46,1:20.85
1,9.53,1:30.053,2,9.42,1:30.165,3,9.63,1:30.473
