SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME,MURPHY Peter POSITION,MURPHY Peter LAP TIME,MURPHY Peter ELAPSED TIME
1,13.19,13.19,3,13.27,13.27,2,13.25,13.25,4,13.42,13.42
1,10.14,23.33,3,10.26,23.53,2,10.16,23.41,4,10.22,23.64
2,9.93,33.26,1,9.62,33.15,3,9.88,33.29,4,9.74,33.38
3,9.65,42.91,1,9.60,42.75,2,9.54,42.83,4,9.55,42.93
3,9.37,52.28,1,9.42,52.17,2,9.44,52.27,4,9.61,52.54
3,9.38,1:01.66,1,9.33,1:01.50,2,9.30,1:01.57,4,9.42,1:01.96
3,9.21,1:10.87,1,9.13,1:10.63,2,9.17,1:10.74,4,9.42,1:11.38
3,8.97,1:19.84,1,9.02,1:19.65,2,9.08,1:19.82,4,9.70,1:21.08
2,8.97,1:28.81,1,8.94,1:28.59,3,9.21,1:29.03,4,9.90,1:30.98
