Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME
4,8.95,8.95,3,8.83,8.83,1,8.57,8.57,2,8.70,8.70,5,9.14,9.14
4,13.05,22.00,3,13.04,21.87,1,13.02,21.59,2,13.01,21.71,5,13.03,22.17
4,12.44,34.44,3,12.44,34.31,1,12.45,34.04,2,12.46,34.17,5,12.40,34.57
4,11.79,46.23,3,11.80,46.11,1,11.83,45.87,2,11.82,45.99,5,11.79,46.36
4,11.57,57.80,3,11.59,57.70,1,11.58,57.45,2,11.57,57.56,5,11.55,57.91
4,11.24,1:09.04,3,11.24,1:08.94,1,11.15,1:08.60,2,11.14,1:08.70,5,11.27,1:09.18
4,10.21,1:19.25,3,10.21,1:19.15,1,10.30,1:18.90,2,10.30,1:19.00,5,10.21,1:19.39
4,9.60,1:28.85,3,9.60,1:28.75,2,9.77,1:28.67,1,9.51,1:28.51,5,9.62,1:29.01
3,9.23,1:38.08,1,9.06,1:37.81,4,9.41,1:38.08,2,9.41,1:37.92,5,9.33,1:38.34
3,9.21,1:47.29,1,9.30,1:47.11,4,9.37,1:47.45,2,9.26,1:47.18,5,9.27,1:47.61
3,9.19,1:56.48,1,9.18,1:56.29,4,9.29,1:56.74,2,9.19,1:56.37,5,9.18,1:56.79
3,9.01,2:05.49,1,8.88,2:05.17,5,9.41,2:06.15,2,8.94,2:05.31,4,8.94,2:05.73
3,9.36,2:14.85,1,9.28,2:14.45,5,10.37,2:16.52,2,9.37,2:14.68,4,9.33,2:15.06
4,30.08,2:44.925,1,9.24,2:23.684,3,10.80,2:27.313,2,9.32,2:23.993,0,,DQ
