Amanda OVERLAND POSITION,Amanda OVERLAND LAP TIME,Amanda OVERLAND ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME
2,14.110,14.110,3,14.110,14.110,4,16.250,16.250,1,13.770,13.770
4,10.880,24.990,1,10.580,24.690,3,8.610,24.860,2,11.020,24.800
2,10.070,35.070,3,10.380,35.080,4,10.450,35.310,1,10.100,34.900
3,10.320,45.400,4,10.400,45.490,2,9.970,45.280,1,10.260,45.160
2,10.220,55.620,4,11.500,56.990,3,10.570,55.860,1,10.280,55.440
2,10.110,1:05.730,3,8.740,1:05.740,4,10.250,1:06.110,1,10.010,1:05.460
1,9.410,1:15.140,2,9.780,1:15.530,4,9.860,1:15.970,3,10.200,1:15.670
1,9.860,1:25.000,2,9.790,1:25.320,3,9.610,1:25.590,4,10.230,1:25.910
1,9.590,1:34.600,3,10.010,1:35.330,2,9.570,1:35.160,4,10.700,1:36.610
