Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Marie-Andree MENDES-CAMPEAU POSITION,Marie-Andree MENDES-CAMPEAU LAP TIME,Marie-Andree MENDES-CAMPEAU ELAPSED TIME,Yasuko SAKASHITA POSITION,Yasuko SAKASHITA LAP TIME,Yasuko SAKASHITA ELAPSED TIME,VALCEPINA Arianna POSITION,VALCEPINA Arianna LAP TIME,VALCEPINA Arianna ELAPSED TIME
1,8.93,8.93,2,9.07,9.07,5,9.36,9.36,3,9.19,9.19,6,9.52,9.52,4,9.28,9.28
2,13.26,22.19,3,13.25,22.32,6,13.42,22.78,4,13.27,22.46,1,12.62,22.14,5,13.28,22.56
3,11.57,33.76,2,11.37,33.69,6,11.36,34.14,4,11.44,33.90,1,11.48,33.62,5,11.42,33.98
3,11.70,45.46,1,11.49,45.18,6,11.61,45.75,4,11.66,45.56,2,11.69,45.31,5,11.63,45.61
2,11.59,57.05,1,11.84,57.02,6,11.77,57.52,4,11.69,57.25,3,11.80,57.11,5,11.74,57.35
1,10.88,1:07.93,3,11.01,1:08.03,6,10.88,1:08.40,4,10.88,1:08.13,2,10.91,1:08.02,5,10.89,1:08.24
2,10.64,1:18.57,3,10.67,1:18.70,6,10.59,1:18.99,4,10.65,1:18.78,1,10.45,1:18.47,5,10.63,1:18.87
3,10.69,1:29.26,4,10.66,1:29.36,6,10.61,1:29.60,1,10.32,1:29.10,2,10.65,1:29.12,5,10.58,1:29.45
3,9.77,1:39.03,4,9.75,1:39.11,6,9.76,1:39.36,1,9.72,1:38.82,2,9.82,1:38.94,5,9.75,1:39.20
3,9.83,1:48.86,4,9.90,1:49.01,5,9.71,1:49.07,2,10.03,1:48.85,1,9.81,1:48.75,6,9.95,1:49.15
2,10.81,1:59.67,5,10.87,1:59.88,4,10.67,1:59.74,3,10.84,1:59.69,1,10.83,1:59.58,6,10.83,1:59.98
2,8.86,2:08.53,5,8.86,2:08.74,3,8.80,2:08.54,1,8.66,2:08.35,4,9.10,2:08.68,6,9.20,2:09.18
3,9.85,2:18.38,4,9.76,2:18.50,2,9.57,2:18.11,1,9.75,2:18.10,5,10.37,2:19.05,6,10.67,2:19.85
3,9.75,2:28.129,4,10.06,2:28.554,1,9.63,2:27.736,2,9.97,2:28.066,5,10.67,2:29.718,6,11.48,2:31.323
