Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,Agne SEREIKAITE POSITION,Agne SEREIKAITE LAP TIME,Agne SEREIKAITE ELAPSED TIME,KIM Ye Jin POSITION,KIM Ye Jin LAP TIME,KIM Ye Jin ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,LEE So Youn POSITION,LEE So Youn LAP TIME,LEE So Youn ELAPSED TIME
4,14.08,14.08,5,18.80,18.80,6,21.90,21.90,1,13.69,13.69,2,13.79,13.79,3,13.90,13.90
4,10.58,24.66,5,11.38,30.18,6,14.00,35.90,2,10.77,24.46,1,10.37,24.16,3,10.66,24.56
4,9.78,34.44,5,10.14,40.32,6,10.84,46.74,2,9.74,34.20,1,9.90,34.06,3,9.74,34.30
3,9.77,44.21,5,11.55,51.87,6,10.90,57.64,2,9.98,44.18,1,9.97,44.03,4,9.96,44.26
2,9.77,53.98,5,11.73,1:03.60,6,11.17,1:08.81,3,9.90,54.08,1,9.88,53.91,4,9.92,54.18
1,9.64,1:03.62,5,11.14,1:14.74,6,11.24,1:20.05,3,9.66,1:03.74,2,9.73,1:03.64,4,9.68,1:03.86
1,9.69,1:13.31,5,11.64,1:26.38,6,13.06,1:33.11,2,9.67,1:13.41,3,9.84,1:13.48,4,9.63,1:13.49
4,10.06,1:23.37,5,12.18,1:38.56,6,12.54,1:45.65,1,9.61,1:23.02,3,9.86,1:23.34,2,9.81,1:23.30
4,10.72,1:34.074,5,13.52,1:52.08,6,12.04,1:57.664,1,9.57,1:32.59,3,10.09,1:33.43,2,9.57,1:32.87
