Sebastian KLOSINSKI POSITION,Sebastian KLOSINSKI LAP TIME,Sebastian KLOSINSKI ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Jose CAVALLI POSITION,Jose CAVALLI LAP TIME,Jose CAVALLI ELAPSED TIME,Thibault CROLET POSITION,Thibault CROLET LAP TIME,Thibault CROLET ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME
1,12.85,12.85,2,12.93,12.93,4,13.30,13.30,5,13.38,13.38,3,13.10,13.10
2,10.22,23.07,3,10.16,23.09,5,9.99,23.29,4,9.86,23.24,1,9.87,22.97
3,9.94,33.01,1,9.70,32.79,5,9.96,33.25,4,9.90,33.14,2,9.88,32.85
3,9.77,42.78,1,9.80,42.59,5,9.79,43.04,4,9.76,42.90,2,9.75,42.60
5,25.51,1:08.29,1,9.51,52.10,4,9.64,52.68,3,9.64,52.54,2,9.82,52.42
5,16.33,1:24.62,1,9.21,1:01.31,4,9.57,1:02.25,3,9.18,1:01.72,2,9.28,1:01.70
5,10.71,1:35.33,1,9.20,1:10.51,4,9.88,1:12.13,2,9.21,1:10.93,3,9.24,1:10.94
5,10.42,1:45.75,1,9.36,1:19.87,4,10.32,1:22.45,2,9.30,1:20.23,3,9.49,1:20.43
5,10.89,1:56.635,1,9.53,1:29.398,4,10.78,1:33.225,2,9.50,1:29.731,3,9.46,1:29.882
