Kuandyk SULEYMENOV POSITION,Kuandyk SULEYMENOV LAP TIME,Kuandyk SULEYMENOV ELAPSED TIME,SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Menderes EREN POSITION,Menderes EREN LAP TIME,Menderes EREN ELAPSED TIME
4,14.63,14.63,3,14.55,14.55,1,14.23,14.23,2,14.34,14.34
2,9.73,24.36,4,10.09,24.64,1,10.04,24.27,3,10.03,24.37
2,9.64,34.00,4,9.63,34.27,1,9.66,33.93,3,9.74,34.11
2,9.58,43.58,4,9.62,43.89,1,9.55,43.48,3,9.66,43.77
2,9.26,52.84,4,9.23,53.12,1,9.25,52.73,3,9.24,53.01
2,9.09,1:01.93,3,8.94,1:02.06,1,8.94,1:01.67,4,9.10,1:02.11
3,9.17,1:11.10,2,8.72,1:10.78,1,8.76,1:10.43,4,9.14,1:11.25
3,9.29,1:20.39,2,8.62,1:19.40,1,8.86,1:19.29,4,9.40,1:20.65
3,9.66,1:30.048,1,8.67,1:28.068,2,9.01,1:28.291,4,9.66,1:30.307
