Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME
4,13.76,13.76,2,13.47,13.47,1,13.29,13.29,5,13.94,13.94,3,13.64,13.64
4,10.04,23.80,2,10.10,23.57,1,10.08,23.37,5,10.01,23.95,3,10.07,23.71
4,9.91,33.71,2,9.91,33.48,1,9.97,33.34,5,9.88,33.83,3,9.89,33.60
4,9.78,43.49,1,9.49,42.97,2,9.72,43.06,5,9.81,43.64,3,9.85,43.45
3,9.25,52.74,1,9.14,52.11,2,9.14,52.20,5,9.76,53.40,4,9.85,53.30
3,8.91,1:01.65,1,9.11,1:01.22,2,9.13,1:01.33,4,9.60,1:03.00,5,9.87,1:03.17
3,8.91,1:10.56,1,8.99,1:10.21,2,9.03,1:10.36,4,9.78,1:12.78,5,9.90,1:13.07
3,9.07,1:19.63,1,8.98,1:19.19,2,9.03,1:19.39,4,10.12,1:22.90,5,10.06,1:23.13
3,9.38,1:29.005,1,9.22,1:28.403,2,9.24,1:28.625,4,10.44,1:33.334,5,10.28,1:33.405
