PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME
1,7.36,7.36,2,7.52,7.52,3,7.63,7.63,4,7.74,7.74
1,9.57,16.93,2,9.57,17.09,3,9.53,17.16,4,9.48,17.22
1,9.02,25.95,2,8.88,25.97,3,8.96,26.12,4,8.95,26.17
3,9.28,35.23,1,9.16,35.13,4,9.18,35.30,2,9.03,35.20
3,9.40,44.629,1,9.33,44.456,4,9.36,44.657,2,9.30,44.495
