Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME,Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,Yvonne KUNZE POSITION,Yvonne KUNZE LAP TIME,Yvonne KUNZE ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME
4,14.364,14.364,3,14.132,14.132,2,13.940,13.940,5,14.386,14.386,1,13.797,13.797
4,10.240,24.603,1,9.854,23.986,3,10.507,24.447,5,10.347,24.732,2,10.588,24.385
4,9.907,34.510,1,9.833,33.818,3,9.940,34.387,5,9.943,34.675,2,9.853,34.237
4,9.548,44.057,3,10.223,44.041,2,9.634,44.021,5,9.645,44.320,1,9.542,43.779
4,9.695,53.752,1,9.413,53.454,3,9.559,53.579,5,9.620,53.939,2,9.679,53.458
5,10.032,1:03.783,2,9.704,1:03.157,3,9.804,1:03.382,4,9.805,1:03.743,1,9.587,1:03.044
5,9.768,1:13.551,3,9.985,1:13.141,2,9.709,1:13.091,4,9.794,1:13.536,1,9.876,1:12.919
5,10.058,1:23.608,2,10.193,1:23.334,3,10.270,1:23.360,4,9.865,1:23.401,1,10.113,1:23.032
5,9.96,1:33.560,2,9.86,1:33.188,3,9.93,1:33.281,4,9.97,1:33.362,1,10.08,1:33.104
