Dmitry MIGUNOV POSITION,Dmitry MIGUNOV LAP TIME,Dmitry MIGUNOV ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME
3,12.41,,2,12.28,12.28,1,12.15,12.15,4,12.53,12.53,5,12.68,12.68
3,9.77,,1,9.63,21.91,2,9.81,21.96,4,9.76,22.29,5,9.72,22.40
3,9.40,,1,9.52,31.43,2,9.56,31.52,4,9.39,31.68,5,9.37,31.77
2,9.46,,1,9.50,40.93,4,9.84,41.36,3,9.41,41.09,5,14.91,46.68
2,9.00,,1,9.09,50.02,4,9.49,50.85,3,9.10,50.19,5,25.30,1:11.98
1,9.22,,2,9.35,59.37,4,8.97,59.82,3,9.29,59.48,5,13.28,1:25.26
1,9.15,,2,9.13,1:08.50,4,8.84,1:08.66,3,9.10,1:08.58,5,11.64,1:36.90
1,9.23,,2,9.34,1:17.84,3,9.31,1:17.97,4,9.41,1:17.99,5,11.18,1:48.08
2,9.48,,3,9.36,1:27.20,1,9.16,1:27.13,3,9.34,1:27.336,4,13.22,2:01.300
