DUBOIS Steven POSITION,DUBOIS Steven LAP TIME,DUBOIS Steven ELAPSED TIME,GALIAKHMETOV Adil POSITION,GALIAKHMETOV Adil LAP TIME,GALIAKHMETOV Adil ELAPSED TIME,YATES Westley POSITION,YATES Westley LAP TIME,YATES Westley ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME
2,12.37,12.37,1,12.26,12.26,5,12.79,12.79,3,12.54,12.54,4,12.66,12.66
2,9.74,22.11,1,9.68,21.94,5,9.64,22.43,3,9.67,22.21,4,9.63,22.29
2,9.25,31.36,1,9.32,31.26,5,9.21,31.64,3,9.26,31.47,4,9.26,31.55
2,9.24,40.60,1,9.17,40.43,5,9.26,40.90,4,9.34,40.81,3,9.12,40.67
2,8.94,49.54,1,9.01,49.44,5,9.29,50.19,4,8.97,49.78,3,8.97,49.64
2,8.82,58.36,1,8.91,58.35,5,9.35,59.54,4,8.93,58.71,3,8.88,58.52
5,27.67,1:26.03,1,9.18,1:07.53,4,9.61,1:09.15,3,8.99,1:07.70,2,9.05,1:07.57
5,19.49,1:45.52,2,9.54,1:17.07,4,9.82,1:18.97,3,9.43,1:17.13,1,9.32,1:16.89
5,15.02,2:00.549,2,9.55,1:26.620,4,10.15,1:29.124,3,9.62,1:26.757,1,9.51,1:26.401
