Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME,Tatiana BODOVA POSITION,Tatiana BODOVA LAP TIME,Tatiana BODOVA ELAPSED TIME,Sarah CHEN POSITION,Sarah CHEN LAP TIME,Sarah CHEN ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME
1,7.22,7.22,2,7.46,7.46,3,7.65,7.65,4,7.77,7.77
1,9.38,16.60,2,9.59,17.05,4,9.74,17.39,3,9.45,17.22
4,25.56,42.16,1,9.33,26.38,3,9.35,26.74,2,9.26,26.48
4,12.80,54.96,2,9.52,35.90,3,9.42,36.16,1,9.29,35.77
4,11.41,1:06.368,2,9.69,45.587,3,9.54,45.695,1,9.57,45.334
