SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME
1,13.02,13.02,4,13.17,13.17,3,13.09,13.09,2,13.09,13.09
1,10.38,23.40,4,10.45,23.63,3,10.37,23.46,2,10.35,23.45
1,10.21,33.62,4,10.19,33.82,3,10.27,33.74,2,10.22,33.67
1,10.07,43.69,4,10.12,43.95,3,10.11,43.86,2,10.11,43.78
2,9.70,53.40,4,9.66,53.62,3,9.70,53.56,1,9.57,53.36
1,9.47,1:02.88,4,9.49,1:03.11,2,9.37,1:02.93,3,9.63,1:03.00
1,9.42,1:12.30,4,9.53,1:12.64,3,9.44,1:12.37,2,9.37,1:12.37
1,9.55,1:21.85,4,9.48,1:22.13,3,9.55,1:21.93,2,9.53,1:21.90
1,9.74,1:31.589,4,9.86,1:31.986,3,9.77,1:31.695,2,9.74,1:31.637
