Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Hannes KROEGER POSITION,Hannes KROEGER LAP TIME,Hannes KROEGER ELAPSED TIME
2,13.08,13.08,1,13.08,13.08,3,13.24,13.24,4,13.34,13.34,5,13.48,13.48
3,10.59,23.67,2,10.47,23.55,1,10.30,23.54,4,10.45,23.79,5,10.43,23.91
3,9.70,33.37,1,9.74,33.29,2,9.77,33.31,4,9.64,33.43,5,9.72,33.63
3,9.94,43.31,1,9.76,43.05,2,9.89,43.20,4,9.97,43.40,5,9.86,43.49
3,9.44,52.75,2,9.58,52.63,1,9.32,52.52,4,9.46,52.86,5,9.52,53.01
3,9.33,1:02.08,2,9.33,1:01.96,1,9.34,1:01.86,4,9.32,1:02.18,5,9.27,1:02.28
3,9.27,1:11.35,2,9.36,1:11.32,1,9.36,1:11.22,4,9.36,1:11.54,5,9.39,1:11.67
3,8.97,1:20.32,2,9.00,1:20.32,1,8.95,1:20.17,4,9.07,1:20.61,5,9.07,1:20.74
1,8.85,1:29.168,5,29.34,1:49.660,2,9.01,1:29.177,3,9.30,1:29.903,4,9.26,1:29.991
