Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,Jason CLAGUE POSITION,Jason CLAGUE LAP TIME,Jason CLAGUE ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME
2,6.79,6.79,3,7.08,7.08,5,7.49,7.49,4,7.31,7.31,1,6.78,6.78
2,8.82,15.61,3,8.73,15.81,4,8.93,16.42,5,9.15,16.46,1,8.74,15.52
2,8.34,23.95,3,8.24,24.05,4,8.57,24.99,5,8.74,25.20,1,8.35,23.87
2,8.47,32.42,3,8.43,32.48,4,8.62,33.61,5,8.92,34.12,1,8.44,32.31
3,8.66,41.08,2,8.52,41.00,4,8.88,42.49,5,9.17,43.29,1,8.56,40.87
