Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Petr HARGAS POSITION,Petr HARGAS LAP TIME,Petr HARGAS ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,J P KEPKA POSITION,J P KEPKA LAP TIME,J P KEPKA ELAPSED TIME,SEO Ho-Jin POSITION,SEO Ho-Jin LAP TIME,SEO Ho-Jin ELAPSED TIME,Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME
3,8.418,8.418,5,8.519,8.519,6,8.546,8.546,1,8.235,8.235,2,8.267,8.267,4,8.510,8.510
1,11.217,19.634,4,11.342,19.860,6,11.453,19.999,5,11.690,19.924,3,11.518,19.785,2,11.149,19.659
1,11.200,30.834,6,11.279,31.138,3,11.105,31.104,5,11.210,31.134,4,11.325,31.109,2,11.422,31.080
2,10.839,41.672,5,10.899,42.036,6,10.997,42.100,1,10.478,41.612,4,10.816,41.924,3,10.782,41.861
1,11.269,52.940,5,11.179,53.215,6,11.314,53.413,2,11.424,53.035,3,11.216,53.140,4,11.342,53.203
4,11.108,1:04.048,5,10.915,1:04.130,6,10.788,1:04.201,2,10.912,1:03.947,1,10.784,1:03.923,3,10.750,1:03.953
4,9.603,1:13.651,5,9.705,1:13.835,6,9.643,1:13.843,3,9.679,1:13.625,1,9.557,1:13.480,2,9.669,1:13.621
2,9.339,1:22.990,5,9.553,1:23.387,6,9.705,1:23.548,4,9.748,1:23.373,1,9.439,1:22.918,3,9.622,1:23.243
2,9.896,1:32.885,5,9.695,1:33.082,6,9.782,1:33.330,4,9.707,1:33.079,1,9.892,1:32.810,3,9.834,1:33.077
2,9.738,1:42.623,4,9.866,1:42.947,5,9.646,1:42.975,3,9.669,1:42.748,1,9.642,1:42.451,6,9.900,1:42.977
2,9.643,1:52.265,6,9.922,1:52.869,4,9.668,1:52.643,3,9.703,1:52.451,1,9.736,1:52.186,5,9.676,1:52.652
2,9.645,2:01.910,6,9.864,2:02.732,4,9.725,2:02.368,3,9.788,2:02.238,1,9.568,2:01.754,5,9.765,2:02.417
2,9.556,2:11.465,6,10.228,2:12.959,5,9.978,2:12.345,4,10.067,2:12.304,1,9.548,2:11.302,3,9.824,2:12.241
2,9.99,2:21.456,5,10.67,2:23.620,6,23.99,2:36.335,4,11.27,2:23.568,1,9.81,2:21.111,3,10.38,2:22.613
