van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,Samantha MORRISON POSITION,Samantha MORRISON LAP TIME,Samantha MORRISON ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,PENCHEVA Zornica POSITION,PENCHEVA Zornica LAP TIME,PENCHEVA Zornica ELAPSED TIME
2,11.17,11.17,1,10.98,10.98,3,11.34,11.34,5,11.66,11.66,4,11.51,11.51,6,11.84,11.84
4,16.54,27.71,1,16.56,27.54,5,16.56,27.90,2,15.99,27.65,3,16.16,27.67,6,16.24,28.08
4,14.57,42.28,2,14.44,41.98,5,14.51,42.41,1,14.22,41.87,3,14.46,42.13,6,14.46,42.54
5,13.92,56.20,2,13.96,55.94,4,13.73,56.14,1,13.96,55.83,3,13.92,56.05,6,13.76,56.30
5,14.14,1:10.34,2,14.02,1:09.96,4,14.05,1:10.19,1,14.02,1:09.85,3,14.03,1:10.08,6,14.13,1:10.43
5,14.39,1:24.73,2,14.51,1:24.47,3,14.33,1:24.52,1,14.50,1:24.35,4,14.47,1:24.55,6,14.43,1:24.86
3,13.87,1:38.60,2,14.05,1:38.52,5,14.11,1:38.63,4,14.27,1:38.62,1,13.93,1:38.48,6,13.94,1:38.80
1,10.87,1:49.47,3,11.14,1:49.66,4,11.06,1:49.69,5,11.20,1:49.82,2,11.10,1:49.58,6,11.11,1:49.91
1,10.92,2:00.39,4,10.93,2:00.59,3,10.86,2:00.55,5,10.91,2:00.73,2,10.91,2:00.49,6,10.93,2:00.84
1,10.71,2:11.10,4,10.79,2:11.38,3,10.70,2:11.25,5,10.75,2:11.48,1,10.61,2:11.10,6,10.74,2:11.58
2,9.82,2:20.92,4,9.77,2:21.15,3,9.79,2:21.04,5,9.76,2:21.24,1,9.65,2:20.75,6,9.80,2:21.38
2,9.39,2:30.31,4,9.44,2:30.59,3,9.36,2:30.40,5,9.44,2:30.68,1,9.49,2:30.24,6,9.58,2:30.96
2,9.38,2:39.69,4,9.48,2:40.07,3,9.38,2:39.78,5,9.45,2:40.13,1,9.35,2:39.59,6,9.67,2:40.63
2,9.47,2:49.16,4,9.62,2:49.69,3,9.48,2:49.26,5,10.05,2:50.18,1,9.48,2:49.07,6,10.03,2:50.66
