HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,Aslan DAUMOV POSITION,Aslan DAUMOV LAP TIME,Aslan DAUMOV ELAPSED TIME
2,12.46,12.46,3,12.61,12.61,5,12.84,12.84,4,12.74,12.74,1,12.45,12.45
1,9.56,22.02,3,9.52,22.13,4,9.47,22.31,2,9.37,22.11,5,10.05,22.50
2,9.06,31.08,3,9.07,31.20,4,9.04,31.35,1,8.94,31.05,5,9.29,31.79
2,9.08,40.16,3,9.03,40.23,4,9.03,40.38,1,9.07,40.12,5,9.27,41.06
1,9.06,49.22,2,9.11,49.34,4,9.16,49.54,3,9.31,49.43,5,9.41,50.47
1,9.31,58.53,2,9.26,58.60,4,9.23,58.77,3,9.24,58.67,5,9.75,1:00.22
1,9.22,1:07.75,2,9.27,1:07.87,4,9.36,1:08.13,3,9.33,1:08.00,5,10.09,1:10.31
1,9.10,1:16.85,2,9.12,1:16.99,4,9.15,1:17.28,3,9.16,1:17.16,5,10.44,1:20.75
1,9.12,1:25.961,2,9.01,1:25.999,4,9.22,1:26.495,3,9.25,1:26.407,5,10.97,1:31.717
