Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME
1,12.68,12.68,2,12.86,12.86,4,13.10,13.10,3,12.91,12.91
1,9.46,22.14,3,9.51,22.37,2,9.06,22.16,4,9.74,22.65
1,9.37,31.51,3,9.36,31.73,2,9.52,31.68,4,9.41,32.06
1,9.31,40.82,3,9.49,41.22,2,9.45,41.13,4,9.28,41.34
2,9.74,50.56,3,9.46,50.68,1,9.42,50.55,4,9.54,50.88
1,9.06,59.62,3,9.18,59.86,2,9.27,59.82,4,9.23,1:00.11
1,9.21,1:08.83,3,9.22,1:09.08,2,9.13,1:08.95,4,9.30,1:09.41
1,9.10,1:17.93,3,9.05,1:18.13,2,9.02,1:17.97,4,9.47,1:18.88
3,9.73,1:27.660,2,9.01,1:27.137,1,9.11,1:27.078,4,9.62,1:28.495
