BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Viktor DIMITROV POSITION,Viktor DIMITROV LAP TIME,Viktor DIMITROV ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME
2,12.77,12.77,3,12.95,12.95,4,13.09,13.09,1,12.73,12.73
1,9.92,22.69,3,10.10,23.05,4,10.06,23.15,2,10.22,22.95
1,9.45,32.14,3,9.62,32.67,4,9.65,32.80,2,9.62,32.57
1,9.56,41.70,3,9.55,42.22,4,9.54,42.34,2,9.54,42.11
1,9.55,51.25,3,9.41,51.63,4,9.40,51.74,2,9.40,51.51
1,9.46,1:00.71,3,9.22,1:00.85,4,9.31,1:01.05,2,9.22,1:00.73
3,9.68,1:10.39,2,9.23,1:10.08,4,9.65,1:10.70,1,9.26,1:09.99
3,9.58,1:19.97,1,9.20,1:19.28,4,9.66,1:20.36,2,9.43,1:19.42
3,10.09,1:30.056,1,9.37,1:28.648,4,10.16,1:30.519,2,9.79,1:29.203
