Mathias VOSTE POSITION,Mathias VOSTE LAP TIME,Mathias VOSTE ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME
1,11.45,11.45,2,11.61,11.61,4,12.04,12.04,3,11.77,11.77,5,12.16,12.16
1,16.42,27.87,2,16.42,28.03,5,16.52,28.56,3,16.51,28.28,4,16.26,28.42
1,14.99,42.86,2,14.99,43.02,3,14.54,43.10,4,14.91,43.19,5,14.89,43.31
3,13.36,56.22,4,13.31,56.33,1,12.98,56.08,2,13.01,56.20,5,13.20,56.51
2,12.18,1:08.40,4,12.21,1:08.54,3,12.36,1:08.44,1,12.07,1:08.27,5,12.19,1:08.70
1,11.01,1:19.41,4,11.22,1:19.76,2,11.14,1:19.58,3,11.32,1:19.59,5,11.19,1:19.89
1,10.99,1:30.40,4,10.90,1:30.66,2,10.97,1:30.55,3,11.02,1:30.61,5,10.92,1:30.81
1,10.85,1:41.25,4,11.00,1:41.66,2,10.91,1:41.46,3,11.02,1:41.63,5,10.90,1:41.71
1,9.56,1:50.81,3,9.50,1:51.16,2,9.60,1:51.06,4,9.65,1:51.28,5,9.75,1:51.46
1,9.16,1:59.97,3,9.13,2:00.29,2,9.13,2:00.19,4,9.21,2:00.49,5,9.12,2:00.58
1,9.07,2:09.04,2,8.84,2:09.13,3,9.09,2:09.28,5,9.25,2:09.74,4,8.99,2:09.57
3,9.22,2:18.26,1,9.09,2:18.22,2,8.96,2:18.24,5,9.40,2:19.14,4,9.03,2:18.60
3,9.34,2:27.60,2,9.24,2:27.46,1,9.09,2:27.33,5,9.82,2:28.96,4,9.16,2:27.76
3,9.26,2:36.859,2,9.14,2:36.597,1,9.06,2:36.387,5,10.48,2:39.438,4,9.46,2:37.212
