KRUZBERGS Roberts POSITION,KRUZBERGS Roberts LAP TIME,KRUZBERGS Roberts ELAPSED TIME,Tunay SIMSEK POSITION,Tunay SIMSEK LAP TIME,Tunay SIMSEK ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Ryan McANUFF POSITION,Ryan McANUFF LAP TIME,Ryan McANUFF ELAPSED TIME
2,6.90,6.90,3,7.19,7.19,1,6.85,6.85,4,7.34,7.34,5,7.53,7.53
2,8.94,15.84,4,9.17,16.36,1,8.86,15.71,3,8.98,16.32,5,9.20,16.73
2,8.42,24.26,4,8.77,25.13,1,8.39,24.10,3,8.40,24.72,5,8.82,25.55
2,8.60,32.86,4,9.05,34.18,1,8.60,32.70,3,8.33,33.05,5,9.03,34.58
3,8.79,41.65,4,9.35,43.53,1,8.81,41.51,2,8.52,41.57,5,9.21,43.79
