Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Jessica AUSMA POSITION,Jessica AUSMA LAP TIME,Jessica AUSMA ELAPSED TIME,Gergana PATSOVA POSITION,Gergana PATSOVA LAP TIME,Gergana PATSOVA ELAPSED TIME,Olga MASKAIKINA POSITION,Olga MASKAIKINA LAP TIME,Olga MASKAIKINA ELAPSED TIME,Rozsa DARAZS POSITION,Rozsa DARAZS LAP TIME,Rozsa DARAZS ELAPSED TIME
2,8.18,8.18,1,7.94,7.94,3,8.39,8.39,4,8.45,8.45,5,8.71,8.71
2,11.66,19.85,1,11.73,19.68,3,11.47,19.87,5,11.59,20.04,4,11.29,20.01
2,11.27,31.13,1,11.27,30.96,4,11.34,31.22,3,11.14,31.18,5,11.37,31.39
3,11.40,42.53,1,11.42,42.39,4,11.42,42.64,2,11.24,42.42,5,11.36,42.75
3,11.69,54.23,2,11.66,54.06,4,11.65,54.30,1,11.62,54.05,5,11.56,54.31
1,10.40,1:04.63,2,10.69,1:04.75,4,10.59,1:04.89,3,10.79,1:04.85,5,10.58,1:04.90
2,10.26,1:14.89,4,10.63,1:15.39,5,10.57,1:15.46,3,10.36,1:15.21,1,9.74,1:14.64
2,10.33,1:25.23,4,10.33,1:25.72,5,10.42,1:25.89,3,10.43,1:25.65,1,10.45,1:25.09
2,10.24,1:35.47,4,10.12,1:35.84,5,10.11,1:36.00,3,10.16,1:35.81,1,10.21,1:35.30
2,10.25,1:45.73,4,10.27,1:46.12,5,10.17,1:46.18,3,10.12,1:45.93,1,10.19,1:45.50
2,10.20,1:55.93,3,10.55,1:56.67,4,10.80,1:56.99,5,12.03,1:57.97,1,10.33,1:55.83
1,10.38,2:06.31,3,10.94,2:07.61,4,10.81,2:07.80,5,12.20,2:10.17,2,10.55,2:06.38
1,10.57,2:16.89,3,11.11,2:18.73,4,11.04,2:18.85,5,13.12,2:23.29,2,10.93,2:17.31
1,11.29,2:28.175,3,11.34,2:30.067,4,11.56,2:30.406,0,,DQ,2,11.11,2:28.414
