YANG Jin POSITION,YANG Jin LAP TIME,YANG Jin ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Adam FILIPOWICZ POSITION,Adam FILIPOWICZ LAP TIME,Adam FILIPOWICZ ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME
1,6.91,6.91,2,7.06,7.06,3,7.15,7.15,4,7.43,7.43
1,8.97,15.88,2,8.96,16.02,3,8.97,16.12,4,8.94,16.37
1,8.74,24.62,2,8.65,24.67,3,8.64,24.76,4,8.63,25.00
2,8.92,33.54,1,8.81,33.48,3,8.87,33.63,4,8.82,33.82
2,9.16,42.694,1,9.04,42.518,3,9.21,42.833,4,9.14,42.952
