HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,HOOGERWERF Dylan POSITION,HOOGERWERF Dylan LAP TIME,HOOGERWERF Dylan ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME
1,6.81,6.81,2,6.91,6.91,3,7.03,7.03,4,7.15,7.15,5,7.28,7.28
1,8.94,15.75,2,9.00,15.91,3,8.97,16.00,4,8.93,16.08,5,8.92,16.20
1,8.39,24.14,1,8.23,24.14,4,8.35,24.35,3,8.18,24.26,5,8.23,24.43
5,8.86,33.00,1,8.44,32.58,2,8.40,32.75,3,8.59,32.85,4,8.46,32.89
5,8.66,41.644,1,8.69,41.27,0,,PHOTO,3,,41.314,4,8.74,41.619
