Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME,JUNG Ba-Ra POSITION,JUNG Ba-Ra LAP TIME,JUNG Ba-Ra ELAPSED TIME,Maaike VOS POSITION,Maaike VOS LAP TIME,Maaike VOS ELAPSED TIME
1,7.10,7.10,2,7.15,7.15,4,7.65,7.65,3,7.33,7.33
1,9.59,16.70,2,9.65,16.81,4,9.69,17.35,3,9.67,17.01
2,9.26,25.96,1,9.03,25.84,4,9.12,26.47,3,9.17,26.19
2,9.52,35.48,1,9.37,35.21,3,9.17,35.64,4,9.69,35.88
2,9.51,44.983,1,9.67,44.880,3,9.58,45.214,4,10.44,46.312
