Yuko KOYA POSITION,Yuko KOYA LAP TIME,Yuko KOYA ELAPSED TIME,Zuzana JURISOVA POSITION,Zuzana JURISOVA LAP TIME,Zuzana JURISOVA ELAPSED TIME,Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,TZVETKOVA Iana POSITION,TZVETKOVA Iana LAP TIME,TZVETKOVA Iana ELAPSED TIME
1,15.133,15.133,2,15.253,15.253,3,15.275,15.275,4,15.390,15.390
2,12.222,27.355,1,12.017,27.270,3,12.106,27.381,4,12.007,27.396
1,10.862,38.216,3,11.257,38.526,2,11.020,38.401,4,11.252,38.648
1,10.683,48.898,3,10.652,49.178,2,10.644,49.044,4,10.609,49.256
1,10.306,59.204,4,10.187,59.364,2,10.272,59.315,3,10.087,59.343
1,10.076,1:09.280,3,10.197,1:09.560,2,10.188,1:09.503,4,10.531,1:09.874
2,10.355,1:19.634,3,10.282,1:19.841,1,10.085,1:19.587,4,10.612,1:20.485
2,10.150,1:29.783,3,10.190,1:30.031,1,9.784,1:29.371,4,11.614,1:32.098
2,10.36,1:40.142,3,10.20,1:40.230,1,10.28,1:39.651,4,11.51,1:43.606
