Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,YU Jiyang POSITION,YU Jiyang LAP TIME,YU Jiyang ELAPSED TIME,Yoan GAUTHIER POSITION,Yoan GAUTHIER LAP TIME,Yoan GAUTHIER ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME
3,16.13,16.13,4,16.27,16.27,1,15.96,15.96,5,16.43,16.43,2,15.99,15.99
1,11.61,27.74,4,11.68,27.95,2,11.83,27.79,5,11.63,28.06,3,11.83,27.82
2,10.03,37.77,3,9.95,37.90,4,10.13,37.92,1,9.69,37.75,5,10.16,37.98
2,9.24,47.01,4,9.29,47.19,3,9.18,47.10,1,9.18,46.93,5,9.36,47.34
2,9.22,56.23,4,9.27,56.46,3,9.22,56.32,1,9.20,56.13,5,9.22,56.56
2,9.02,1:05.25,4,8.98,1:05.44,3,9.00,1:05.32,1,9.04,1:05.17,5,8.97,1:05.53
2,9.00,1:14.25,4,9.02,1:14.46,3,9.04,1:14.36,1,9.05,1:14.22,5,9.07,1:14.60
1,8.65,1:22.90,3,8.81,1:23.27,4,9.03,1:23.39,2,8.93,1:23.15,5,9.02,1:23.62
1,8.84,1:31.733,3,9.02,1:32.282,4,9.05,1:32.433,2,8.93,1:32.078,5,9.16,1:32.777
