Mateusz KRZEMINSKI POSITION,Mateusz KRZEMINSKI LAP TIME,Mateusz KRZEMINSKI ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,GALIAKHMETOV Adil POSITION,GALIAKHMETOV Adil LAP TIME,GALIAKHMETOV Adil ELAPSED TIME
1,7.03,7.03,2,7.14,7.14,3,7.29,7.29,4,7.45,7.45,5,7.61,7.61
1,9.12,16.15,3,9.22,16.36,2,8.98,16.27,4,8.96,16.41,5,8.87,16.48
2,8.73,24.88,4,8.71,25.07,1,8.60,24.87,3,8.60,25.01,5,8.71,25.19
3,8.92,33.80,5,8.87,33.94,1,8.73,33.60,2,8.73,33.74,4,8.63,33.82
5,9.33,43.135,4,8.88,42.825,1,8.86,42.469,2,8.80,42.545,3,8.94,42.761
