Peter JELEN POSITION,Peter JELEN LAP TIME,Peter JELEN ELAPSED TIME,Krystian ZDROJKOWSKI POSITION,Krystian ZDROJKOWSKI LAP TIME,Krystian ZDROJKOWSKI ELAPSED TIME,GUO Wei POSITION,GUO Wei LAP TIME,GUO Wei ELAPSED TIME,Adam KOVACS POSITION,Adam KOVACS LAP TIME,Adam KOVACS ELAPSED TIME
1,7.000,7.000,2,7.188,7.188,3,7.196,7.196,4,7.205,7.205
1,9.443,16.443,3,9.403,16.590,4,9.402,16.597,2,9.242,16.447
3,9.339,25.782,4,9.225,25.814,2,9.173,25.770,1,9.284,25.730
3,9.396,35.178,4,9.558,35.371,1,9.326,35.095,2,9.408,35.137
3,10.14,45.313,2,9.72,45.086,1,9.51,44.597,0,,DQ
