LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Ryan BEDFORD POSITION,Ryan BEDFORD LAP TIME,Ryan BEDFORD ELAPSED TIME,Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,KIM Hyun-Kon POSITION,KIM Hyun-Kon LAP TIME,KIM Hyun-Kon ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Marc-Andre MONETTE POSITION,Marc-Andre MONETTE LAP TIME,Marc-Andre MONETTE ELAPSED TIME
0,8.978,8.978,0,8.642,8.642,0,8.555,8.555,0,8.659,8.659,0,8.938,8.938,0,8.522,8.522,0,8.865,8.865
0,10.677,19.655,0,11.216,19.858,0,11.197,19.752,0,11.249,19.908,0,10.458,19.396,0,11.002,19.524,0,11.053,19.918
0,9.918,29.574,0,10.069,29.927,0,10.047,29.799,0,10.040,29.948,0,10.553,29.949,0,10.013,29.537,0,9.717,29.635
0,10.065,39.638,0,10.068,39.995,0,10.260,40.059,0,10.221,40.169,0,10.036,39.985,0,10.247,39.784,0,10.258,39.894
0,10.483,50.121,0,10.605,50.600,0,10.586,50.645,0,10.544,50.712,0,10.496,50.481,0,10.662,50.446,0,10.232,50.126
0,9.627,59.748,0,9.455,1:00.054,0,9.626,1:00.270,0,9.518,1:00.231,0,8.981,59.462,0,9.465,59.911,0,9.645,59.771
0,9.798,1:09.545,0,9.736,1:09.790,0,9.683,1:09.954,0,9.682,1:09.912,0,10.262,1:09.724,0,9.817,1:09.728,0,9.724,1:09.496
0,10.010,1:19.555,0,9.959,1:19.749,0,10.027,1:19.981,0,10.016,1:19.928,0,10.084,1:19.808,0,9.991,1:19.719,0,9.981,1:19.476
0,9.737,1:29.292,0,9.643,1:29.392,0,9.835,1:29.816,0,9.532,1:29.459,0,9.142,1:28.950,0,9.710,1:29.430,0,9.714,1:29.190
0,9.381,1:38.673,0,9.415,1:38.807,0,9.405,1:39.221,0,9.449,1:38.908,0,10.328,1:39.278,0,9.379,1:38.809,0,9.341,1:38.531
0,9.451,1:48.124,0,9.280,1:48.087,0,9.254,1:48.474,0,9.346,1:48.253,0,9.099,1:48.376,0,9.338,1:48.146,0,9.646,1:48.177
0,9.257,1:57.381,0,9.443,1:57.530,0,9.392,1:57.866,0,9.377,1:57.631,0,10.583,1:58.959,0,9.418,1:57.564,0,9.157,1:57.335
0,8.958,2:06.340,0,9.346,2:06.875,0,9.776,2:07.642,0,9.272,2:06.903,0,8.276,2:07.234,0,9.274,2:06.838,0,9.240,2:06.575
0,9.532,2:15.871,0,9.225,2:16.101,0,10.031,2:17.673,0,9.462,2:16.364,0,9.013,2:16.248,0,9.272,2:16.109,0,9.331,2:15.906
