Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,GONG Qiuwen POSITION,GONG Qiuwen LAP TIME,GONG Qiuwen ELAPSED TIME,Nathaniel HENRY POSITION,Nathaniel HENRY LAP TIME,Nathaniel HENRY ELAPSED TIME,YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME
1,8.97,8.97,4,9.34,9.34,5,9.47,9.47,2,9.09,9.09,3,9.20,9.20,6,9.62,9.62,7,9.72,9.72
1,14.22,23.19,4,14.40,23.74,5,14.43,23.90,2,14.33,23.42,3,14.35,23.55,6,14.44,24.06,7,14.53,24.25
1,13.19,36.38,4,12.98,36.72,5,12.93,36.83,2,13.08,36.50,3,13.05,36.60,6,12.90,36.96,7,12.92,37.17
1,13.12,49.50,5,13.18,49.90,6,13.19,50.02,2,13.13,49.63,3,13.13,49.73,7,13.17,50.13,4,12.73,49.90
2,10.70,1:00.20,5,10.61,1:00.51,6,10.59,1:00.61,3,10.68,1:00.31,4,10.68,1:00.41,7,10.59,1:00.72,1,10.13,1:00.03
4,10.51,1:10.71,5,10.38,1:10.89,6,10.39,1:11.00,3,10.39,1:10.70,1,9.97,1:10.38,7,10.38,1:11.10,2,10.52,1:10.55
5,9.97,1:20.68,4,9.79,1:20.68,6,9.81,1:20.81,3,9.88,1:20.58,1,9.94,1:20.32,7,9.81,1:20.91,2,9.92,1:20.47
5,10.19,1:30.87,3,10.18,1:30.86,6,10.23,1:31.04,4,10.28,1:30.86,1,10.24,1:30.56,7,10.37,1:31.28,2,10.26,1:30.73
5,9.61,1:40.48,4,9.43,1:40.29,6,9.54,1:40.58,2,9.37,1:40.23,1,9.59,1:40.15,7,9.40,1:40.68,3,9.54,1:40.27
3,9.27,1:49.75,7,32.31,2:12.60,4,9.26,1:49.84,5,9.71,1:49.94,2,9.50,1:49.65,6,9.28,1:49.96,1,9.30,1:49.57
3,9.52,1:59.27,7,17.59,2:30.19,4,9.48,1:59.32,5,9.54,1:59.48,2,9.49,1:59.14,6,9.61,1:59.57,1,9.43,1:59.00
3,9.39,2:08.66,7,13.90,2:44.09,5,9.44,2:08.76,1,9.11,2:08.59,4,9.62,2:08.76,6,9.42,2:08.99,2,9.62,2:08.62
6,10.25,2:18.91,7,12.13,2:56.22,4,10.02,2:18.78,1,9.62,2:18.21,2,9.53,2:18.29,5,9.88,2:18.87,3,9.78,2:18.40
5,10.22,2:29.124,6,11.78,3:07.992,3,9.53,2:28.303,1,9.38,2:27.589,2,9.57,2:27.855,4,9.99,2:28.858,0,,PEN
