KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME,CHINA POSITION,CHINA LAP TIME,CHINA ELAPSED TIME,FRANCE POSITION,FRANCE LAP TIME,FRANCE ELAPSED TIME
2,12.09,12.09,1,11.96,11.96,3,12.19,12.19
2,9.15,21.24,1,9.21,21.17,3,9.18,21.37
2,9.06,30.30,1,9.05,30.22,3,9.05,30.42
2,9.05,39.35,1,9.06,39.28,3,9.04,39.46
2,9.28,48.63,1,9.23,48.51,3,9.31,48.77
2,9.21,57.84,1,9.12,57.63,3,9.17,57.94
2,8.95,1:06.79,1,8.99,1:06.62,3,8.93,1:06.87
2,8.96,1:15.75,1,9.03,1:15.65,3,14.35,1:21.22
2,9.17,1:24.92,1,9.03,1:24.68,3,9.25,1:30.47
2,9.15,1:34.07,1,9.29,1:33.97,3,8.80,1:39.27
2,9.07,1:43.14,1,9.07,1:43.04,3,8.89,1:48.16
2,9.10,1:52.24,1,9.02,1:52.06,3,8.87,1:57.03
2,9.21,2:01.45,1,9.29,2:01.35,3,14.96,2:11.99
2,9.15,2:10.60,1,9.16,2:10.51,3,9.92,2:21.91
2,9.06,2:19.66,1,9.02,2:19.53,3,9.00,2:30.91
2,9.21,2:28.87,1,9.24,2:28.77,3,9.19,2:40.10
1,9.00,2:37.87,2,9.30,2:38.07,3,8.93,2:49.03
1,8.88,2:46.75,2,9.07,2:47.14,3,9.68,2:58.71
1,8.82,2:55.57,2,8.60,2:55.74,3,10.10,3:08.81
1,8.45,3:04.02,2,8.45,3:04.19,3,10.26,3:19.07
1,8.68,3:12.70,2,8.56,3:12.75,3,9.72,3:28.79
1,9.09,3:21.79,2,9.09,3:21.84,3,9.70,3:38.49
1,9.16,3:30.95,2,9.24,3:31.08,3,10.23,3:48.72
1,9.15,3:40.10,2,9.21,3:40.29,3,9.76,3:58.48
1,8.97,3:49.07,2,9.03,3:49.32,3,9.72,4:08.20
1,9.23,3:58.30,2,14.56,4:03.88,3,9.87,4:18.07
1,9.61,4:07.891,2,10.55,4:14.409,3,10.58,4:28.622
