Safiya VLASOVA POSITION,Safiya VLASOVA LAP TIME,Safiya VLASOVA ELAPSED TIME,Alyson DUDEK POSITION,Alyson DUDEK LAP TIME,Alyson DUDEK ELAPSED TIME,PENCHEVA Zornica POSITION,PENCHEVA Zornica LAP TIME,PENCHEVA Zornica ELAPSED TIME,Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME
2,14.06,14.06,4,14.34,14.34,3,14.23,14.23,1,13.93,13.93
2,10.95,25.01,4,10.98,25.32,3,10.93,25.16,1,10.88,24.81
2,10.30,35.31,4,10.22,35.54,3,10.25,35.41,1,10.37,35.18
2,10.52,45.83,4,10.50,46.04,3,10.53,45.94,1,10.52,45.70
2,10.56,56.39,4,10.63,56.67,3,10.60,56.54,1,10.58,56.28
2,10.28,1:06.67,4,10.21,1:06.88,3,10.26,1:06.80,1,10.22,1:06.50
3,9.98,1:16.65,2,9.77,1:16.65,4,9.89,1:16.69,1,9.90,1:16.40
3,10.15,1:26.80,2,9.58,1:26.23,4,10.68,1:27.37,1,9.71,1:26.11
3,10.70,1:37.494,2,9.81,1:36.033,4,11.43,1:38.795,1,9.77,1:35.871
