Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,WANG Hong Yang POSITION,WANG Hong Yang LAP TIME,WANG Hong Yang ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Thomas PEARCE POSITION,Thomas PEARCE LAP TIME,Thomas PEARCE ELAPSED TIME,Paul WORTH POSITION,Paul WORTH LAP TIME,Paul WORTH ELAPSED TIME
1,9.40,9.40,4,9.65,9.65,3,9.53,9.53,2,9.50,9.50,5,9.96,9.96
2,14.06,23.47,4,14.26,23.91,3,14.08,23.62,1,13.86,23.37,5,13.96,23.92
2,11.83,35.30,4,11.52,35.44,3,11.76,35.38,1,11.53,34.90,5,11.67,35.60
3,10.89,46.20,4,10.85,46.29,2,10.71,46.10,1,11.14,46.05,5,10.82,46.42
4,10.87,57.08,1,10.57,56.87,3,10.90,57.00,2,10.95,57.00,5,11.00,57.43
1,10.07,1:07.15,3,10.50,1:07.37,2,10.20,1:07.20,4,10.40,1:07.41,5,10.07,1:07.51
3,10.19,1:17.35,2,9.84,1:17.22,1,9.91,1:17.12,5,10.10,1:17.51,4,9.99,1:17.50
2,9.70,1:27.05,1,9.74,1:26.97,3,9.96,1:27.08,5,15.59,1:33.11,4,9.89,1:27.39
3,9.71,1:36.77,1,9.56,1:36.54,2,9.52,1:36.60,5,13.27,1:46.38,4,9.44,1:36.84
3,9.47,1:46.24,1,9.52,1:46.06,2,9.52,1:46.12,5,10.27,1:56.65,4,9.45,1:46.29
3,9.38,1:55.62,1,9.41,1:55.48,2,9.48,1:55.61,5,10.08,2:06.74,4,9.71,1:56.00
3,9.48,2:05.11,1,9.43,2:04.91,2,9.43,2:05.04,5,10.20,2:16.94,4,10.12,2:06.13
3,9.63,2:14.75,1,9.59,2:14.51,2,9.58,2:14.62,5,10.75,2:27.70,4,10.72,2:16.85
2,10.04,2:24.781,3,10.31,2:24.816,1,10.09,2:24.707,5,10.82,2:38.516,4,11.13,2:27.972
