Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Anton SIMON POSITION,Anton SIMON LAP TIME,Anton SIMON ELAPSED TIME
1,13.916,13.916,3,14.145,14.145,2,14.014,14.014,4,14.347,14.347
1,11.714,25.630,3,11.710,25.856,2,11.752,25.766,4,11.786,26.133
1,11.570,37.200,4,11.523,37.378,2,11.446,37.211,3,11.152,37.285
3,9.818,47.018,4,9.756,47.134,1,9.365,46.576,2,9.716,47.001
3,9.512,56.531,4,9.458,56.592,1,9.685,56.262,2,9.526,56.528
2,9.363,1:05.894,3,9.435,1:06.028,1,9.626,1:05.887,4,9.771,1:06.299
3,9.588,1:15.481,2,9.387,1:15.414,1,9.331,1:15.218,4,9.775,1:16.074
4,45.571,2:01.052,1,10.248,1:25.663,3,22.162,1:37.380,2,10.097,1:26.171
4,19.602,2:20.654,1,10.569,1:36.231,3,13.592,1:50.972,2,11.386,1:37.557
