Ryan McANUFF POSITION,Ryan McANUFF LAP TIME,Ryan McANUFF ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,TREACY Farrell POSITION,TREACY Farrell LAP TIME,TREACY Farrell ELAPSED TIME,Einar AGDESTEIN POSITION,Einar AGDESTEIN LAP TIME,Einar AGDESTEIN ELAPSED TIME,Jacob JANSSON POSITION,Jacob JANSSON LAP TIME,Jacob JANSSON ELAPSED TIME,GOEMINNE Gert-Jan POSITION,GOEMINNE Gert-Jan LAP TIME,GOEMINNE Gert-Jan ELAPSED TIME
1,9.17,9.17,2,9.31,9.31,6,9.97,9.97,4,9.62,9.62,5,9.79,9.79,3,9.48,9.48
1,13.70,22.87,2,13.68,22.99,6,13.62,23.59,5,13.80,23.42,4,13.45,23.24,3,13.64,23.12
1,13.39,36.26,2,13.39,36.38,6,13.42,37.01,5,13.39,36.81,4,13.39,36.63,3,13.37,36.49
2,13.29,49.55,3,13.29,49.67,6,13.19,50.20,5,13.15,49.96,3,13.04,49.67,1,12.97,49.46
4,11.84,1:01.39,5,11.93,1:01.60,6,11.64,1:01.84,1,11.21,1:01.17,2,11.57,1:01.24,3,11.90,1:01.36
4,10.59,1:11.98,5,10.56,1:12.16,6,10.48,1:12.32,1,10.57,1:11.74,3,10.63,1:11.87,2,10.41,1:11.77
3,10.17,1:22.15,5,10.24,1:22.40,6,10.20,1:22.52,4,10.52,1:22.26,2,10.19,1:22.06,1,10.15,1:21.92
3,10.24,1:32.39,5,10.19,1:32.59,6,10.20,1:32.72,3,10.13,1:32.39,2,10.20,1:32.26,1,10.22,1:32.14
4,10.07,1:42.46,5,9.99,1:42.58,6,9.99,1:42.71,3,9.92,1:42.31,2,9.94,1:42.20,1,9.94,1:42.08
4,9.62,1:52.08,5,9.64,1:52.22,6,9.60,1:52.31,3,9.65,1:51.96,2,9.63,1:51.83,1,9.67,1:51.75
3,9.38,2:01.46,6,9.44,2:01.66,5,9.33,2:01.64,4,9.53,2:01.49,1,9.35,2:01.18,1,9.43,2:01.18
4,9.30,2:10.76,5,9.38,2:11.04,3,9.07,2:10.71,6,9.80,2:11.29,1,9.30,2:10.48,2,9.41,2:10.59
3,9.40,2:20.16,5,9.19,2:20.23,1,9.07,2:19.78,6,9.93,2:21.22,3,9.68,2:20.16,2,9.46,2:20.05
4,9.47,2:29.616,3,9.29,2:29.505,1,9.36,2:29.114,6,10.42,2:31.629,5,10.13,2:30.274,2,9.28,2:29.322
