AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Thibaut MELINE POSITION,Thibaut MELINE LAP TIME,Thibaut MELINE ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME
3,15.41,15.41,4,15.55,15.55,5,15.67,15.67,2,15.29,15.29,1,15.11,15.11
3,11.84,27.25,4,11.82,27.37,5,11.88,27.55,2,11.82,27.11,1,11.82,26.93
3,11.31,38.56,4,11.31,38.68,5,11.27,38.82,2,11.32,38.43,1,11.33,38.26
2,10.35,48.91,4,10.40,49.08,5,10.50,49.32,3,10.58,49.01,1,10.55,48.81
2,9.92,58.83,4,9.90,58.98,5,9.88,59.20,3,9.88,58.89,1,9.93,58.74
3,9.12,1:07.95,4,9.16,1:08.14,5,9.08,1:08.28,1,8.73,1:07.62,2,9.06,1:07.80
3,8.88,1:16.83,4,8.81,1:16.95,5,8.84,1:17.12,1,9.04,1:16.66,2,8.94,1:16.74
3,9.15,1:25.98,4,9.10,1:26.05,5,9.05,1:26.17,1,9.06,1:25.72,2,9.08,1:25.82
3,9.13,1:35.107,4,9.13,1:35.179,5,9.10,1:35.264,2,9.31,1:35.024,1,9.06,1:34.875
