LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Nicola FRANCESCHINA POSITION,Nicola FRANCESCHINA LAP TIME,Nicola FRANCESCHINA ELAPSED TIME,Dmitry VASILENKO POSITION,Dmitry VASILENKO LAP TIME,Dmitry VASILENKO ELAPSED TIME,Jean-Francois MONETTE POSITION,Jean-Francois MONETTE LAP TIME,Jean-Francois MONETTE ELAPSED TIME
2,13.107,13.107,1,13.106,13.106,4,13.367,13.367,3,13.266,13.266
3,10.310,23.416,4,10.441,23.547,2,9.950,23.316,1,10.003,23.269
4,9.368,32.784,3,9.227,32.773,1,9.268,32.583,2,9.360,32.629
3,9.448,42.232,4,9.615,42.388,2,9.545,42.128,1,9.430,42.058
4,9.382,51.613,3,9.172,51.560,1,9.299,51.427,2,9.379,51.436
4,9.347,1:00.960,2,9.087,1:00.646,3,9.229,1:00.655,1,9.193,1:00.629
4,9.231,1:10.190,2,9.329,1:09.975,3,9.330,1:09.985,1,9.189,1:09.817
3,9.324,1:19.513,2,9.316,1:19.291,4,11.113,1:21.098,1,9.408,1:19.225
0,,DQ,2,9.95,1:29.236,3,10.50,1:31.593,1,9.87,1:29.095
