Jessica HEWITT POSITION,Jessica HEWITT LAP TIME,Jessica HEWITT ELAPSED TIME,Xeniya MOTOVA POSITION,Xeniya MOTOVA LAP TIME,Xeniya MOTOVA ELAPSED TIME,Sayuri SHIMIZU POSITION,Sayuri SHIMIZU LAP TIME,Sayuri SHIMIZU ELAPSED TIME,Ekaterina BARANOK POSITION,Ekaterina BARANOK LAP TIME,Ekaterina BARANOK ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,Dariya VOLOKITINA POSITION,Dariya VOLOKITINA LAP TIME,Dariya VOLOKITINA ELAPSED TIME,Safiya VLASOVA POSITION,Safiya VLASOVA LAP TIME,Safiya VLASOVA ELAPSED TIME
6,9.25,9.25,3,9.02,9.02,1,8.91,8.91,4,9.11,9.11,5,9.13,9.13,2,8.98,8.98,7,9.25,9.25
7,12.38,21.63,5,12.34,21.36,4,12.33,21.24,6,12.40,21.51,1,11.43,20.56,3,12.12,21.10,2,11.42,20.67
7,10.88,32.51,5,10.93,32.29,4,10.93,32.17,6,10.87,32.38,1,11.20,31.76,3,10.93,32.03,2,11.19,31.86
7,10.94,43.45,6,11.15,43.44,2,10.83,43.00,5,10.94,43.32,1,11.23,42.99,4,11.17,43.20,3,11.23,43.09
2,10.09,53.54,7,10.57,54.01,1,10.53,53.53,3,10.32,53.64,4,10.67,53.66,6,10.69,53.89,5,10.70,53.79
1,9.88,1:03.42,7,10.03,1:04.04,3,10.10,1:03.63,2,9.87,1:03.51,4,10.04,1:03.70,6,10.02,1:03.91,5,10.07,1:03.86
1,10.34,1:13.76,6,10.29,1:14.33,3,10.33,1:13.96,2,10.33,1:13.84,4,10.43,1:14.13,5,10.29,1:14.20,7,10.47,1:14.33
1,10.11,1:23.87,6,10.26,1:24.59,3,10.08,1:24.04,2,10.11,1:23.95,4,9.99,1:24.12,5,10.05,1:24.25,7,10.54,1:24.87
1,10.05,1:33.92,6,10.09,1:34.68,3,10.10,1:34.14,2,10.07,1:34.02,4,10.15,1:34.27,5,10.19,1:34.44,7,10.35,1:35.22
1,9.91,1:43.83,6,10.22,1:44.90,3,9.91,1:44.05,2,9.93,1:43.95,4,9.94,1:44.21,5,10.13,1:44.57,7,10.72,1:45.94
1,9.71,1:53.54,6,10.31,1:55.21,3,9.71,1:53.76,2,9.69,1:53.64,4,9.84,1:54.05,5,10.36,1:54.93,7,11.08,1:57.02
1,9.83,2:03.37,6,10.56,2:05.77,3,9.81,2:03.57,2,9.83,2:03.47,4,10.05,2:04.10,5,10.72,2:05.65,7,11.38,2:08.40
1,9.93,2:13.30,6,11.06,2:16.83,3,9.90,2:13.47,2,9.84,2:13.31,4,10.29,2:14.39,5,11.04,2:16.69,7,11.71,2:20.11
1,10.02,2:23.317,6,11.22,2:28.049,3,10.15,2:23.620,2,10.11,2:23.414,4,10.68,2:25.070,5,11.27,2:27.958,7,12.06,2:32.161
