BLAIS Danae POSITION,BLAIS Danae LAP TIME,BLAIS Danae ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,Petra VANKOVA POSITION,Petra VANKOVA LAP TIME,Petra VANKOVA ELAPSED TIME,TOPOLSKA Gabriela POSITION,TOPOLSKA Gabriela LAP TIME,TOPOLSKA Gabriela ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME
7,12.40,12.40,5,12.01,12.01,6,12.19,12.19,4,11.84,11.84,3,11.67,11.67,2,11.48,,1,11.46,11.46
7,17.34,29.74,1,16.79,28.80,6,17.23,29.42,5,17.52,29.36,3,17.38,29.05,4,17.72,,2,17.46,28.92
7,16.44,46.18,1,16.41,45.21,6,16.60,46.02,5,16.49,45.85,3,16.47,45.52,4,16.47,,2,16.48,45.40
7,15.06,1:01.24,1,15.46,1:00.67,5,14.89,1:00.91,6,15.21,1:01.06,4,15.37,1:00.89,3,15.14,,2,15.38,1:00.78
6,12.15,1:13.39,1,12.02,1:12.69,3,12.03,1:12.94,6,12.33,1:13.39,2,11.90,1:12.79,5,12.43,,4,12.37,1:13.15
6,11.04,1:24.43,2,11.28,1:23.97,1,10.93,1:23.87,7,11.14,1:24.53,3,11.26,1:24.05,5,11.05,,4,11.03,1:24.18
6,11.07,1:35.50,1,11.10,1:35.07,2,11.21,1:35.08,7,11.09,1:35.62,3,11.09,1:35.14,5,11.08,,4,11.12,1:35.30
6,10.00,1:45.50,1,9.98,1:45.05,3,10.15,1:45.23,7,9.98,1:45.60,2,9.97,1:45.11,5,10.04,,4,10.03,1:45.33
6,9.98,1:55.48,1,10.01,1:55.06,2,9.98,1:55.21,7,10.04,1:55.64,2,10.10,1:55.21,5,9.96,,4,10.01,1:55.34
5,9.77,2:05.25,1,9.76,2:04.82,2,9.75,2:04.96,7,9.78,2:05.42,5,10.04,2:05.25,4,9.70,,3,9.71,2:05.05
5,9.48,2:14.73,1,9.54,2:14.36,4,9.76,2:14.72,7,9.77,2:15.19,6,9.84,2:15.09,3,9.47,,2,9.41,2:14.46
4,9.31,2:24.04,1,9.51,2:23.87,5,9.80,2:24.52,7,9.75,2:24.94,6,9.79,2:24.88,3,9.42,,2,9.44,2:23.90
3,9.27,2:33.31,4,9.65,2:33.52,5,9.93,2:34.45,7,10.57,2:35.51,6,9.83,2:34.71,2,9.25,,1,9.25,2:33.15
2,9.53,2:42.84,2,9.75,2:43.270,4,10.24,2:44.697,6,12.30,2:47.810,5,10.07,2:44.786,1,9.54,,4,10.36,2:43.51
