Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Benjamin MACE POSITION,Benjamin MACE LAP TIME,Benjamin MACE ELAPSED TIME
2,8.02,8.02,1,7.90,7.90,3,8.13,8.13,6,8.30,8.30,4,8.15,8.15,5,8.28,8.28
2,10.63,18.65,1,10.66,18.56,3,10.63,18.76,6,10.77,19.07,4,10.74,18.89,5,10.73,19.01
1,10.54,29.19,3,10.68,29.24,4,10.58,29.34,6,10.57,29.64,5,10.60,29.49,2,10.18,29.19
3,10.10,39.29,5,10.24,39.48,4,10.06,39.40,2,9.56,39.20,6,9.99,39.48,1,9.96,39.15
3,9.73,49.02,6,9.84,49.32,4,9.72,49.12,1,9.64,48.84,5,9.73,49.21,2,9.78,48.93
3,10.32,59.34,6,10.43,59.75,4,10.33,59.45,2,10.35,59.19,5,10.36,59.57,1,10.21,59.14
3,10.01,1:09.35,6,9.84,1:09.59,4,10.01,1:09.46,1,9.95,1:09.14,5,10.00,1:09.57,2,10.10,1:09.24
2,9.88,1:19.23,6,9.99,1:19.58,5,10.01,1:19.47,1,10.01,1:19.15,4,9.81,1:19.38,3,10.02,1:19.26
2,9.95,1:29.18,6,9.91,1:29.49,3,9.83,1:29.30,1,9.93,1:29.08,4,10.01,1:29.39,5,10.16,1:29.42
2,9.79,1:38.97,6,10.00,1:39.49,3,9.79,1:39.09,1,9.81,1:38.89,4,9.82,1:39.21,5,9.92,1:39.34
2,9.67,1:48.64,6,9.60,1:49.09,3,9.66,1:48.75,1,9.67,1:48.56,4,9.66,1:48.87,5,9.64,1:48.98
2,9.57,1:58.21,6,9.58,1:58.67,3,9.58,1:58.33,1,9.59,1:58.15,4,9.59,1:58.46,5,9.61,1:58.59
1,9.40,2:07.61,6,9.68,2:08.35,3,9.48,2:07.81,2,9.63,2:07.78,4,9.48,2:07.94,5,9.69,2:08.28
1,9.61,2:17.214,6,10.56,2:18.906,2,9.53,2:17.335,3,9.77,2:17.548,4,9.62,2:17.555,5,10.03,2:18.304
