Rafal GRYCNER POSITION,Rafal GRYCNER LAP TIME,Rafal GRYCNER ELAPSED TIME,HAN Seung Soo POSITION,HAN Seung Soo LAP TIME,HAN Seung Soo ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
3,15.05,15.05,4,15.14,15.14,2,15.02,15.02,1,14.90,14.90
3,10.91,25.96,4,10.92,26.06,1,10.64,25.66,2,10.91,25.81
3,10.44,36.40,4,10.55,36.61,1,10.55,36.21,2,10.53,36.34
4,9.77,46.17,3,9.45,46.06,1,9.62,45.83,2,9.62,45.96
4,9.47,55.64,3,9.44,55.50,2,9.51,55.34,1,9.27,55.23
4,9.34,1:04.98,3,9.22,1:04.72,2,9.24,1:04.58,1,9.24,1:04.47
4,9.29,1:14.27,3,9.02,1:13.74,2,9.06,1:13.64,1,9.05,1:13.52
4,9.36,1:23.63,2,8.77,1:22.51,3,9.01,1:22.65,1,8.87,1:22.39
4,9.78,1:33.406,1,8.78,1:31.287,3,9.26,1:31.902,2,9.01,1:31.394
