Tunay SIMSEK POSITION,Tunay SIMSEK LAP TIME,Tunay SIMSEK ELAPSED TIME,KRUZBERGS Karlis POSITION,KRUZBERGS Karlis LAP TIME,KRUZBERGS Karlis ELAPSED TIME,ANTONIOLI Mattia POSITION,ANTONIOLI Mattia LAP TIME,ANTONIOLI Mattia ELAPSED TIME,KOLENC Martin POSITION,KOLENC Martin LAP TIME,KOLENC Martin ELAPSED TIME,SITNIKOV Pavel POSITION,SITNIKOV Pavel LAP TIME,SITNIKOV Pavel ELAPSED TIME
1,7.08,,5,7.39,7.39,2,7.19,7.19,4,7.36,7.36,3,7.33,7.33
1,9.19,,4,9.20,16.59,3,9.15,16.34,5,9.37,16.73,2,8.98,16.31
2,8.70,,4,8.67,25.26,3,8.70,25.04,5,16.36,33.09,1,8.55,24.86
2,8.71,,4,8.70,33.96,3,8.66,33.70,5,19.10,52.19,1,8.71,33.57
3,21.09,,2,9.06,43.02,5,39.37,1:13.07,4,11.82,1:04.01,1,8.99,42.56
