GAERTNER Anna Katharina POSITION,GAERTNER Anna Katharina LAP TIME,GAERTNER Anna Katharina ELAPSED TIME,BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME,Iulia KROMIDO POSITION,Iulia KROMIDO LAP TIME,Iulia KROMIDO ELAPSED TIME,IZAFATAVA Hanna POSITION,IZAFATAVA Hanna LAP TIME,IZAFATAVA Hanna ELAPSED TIME,Samra SELIMBEGOVIC POSITION,Samra SELIMBEGOVIC LAP TIME,Samra SELIMBEGOVIC ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME
1,15.46,15.46,5,15.76,15.76,3,15.59,15.59,4,15.66,15.66,6,15.92,15.92,2,15.57,15.57
1,12.20,27.66,3,12.00,27.76,4,12.19,27.78,5,12.21,27.87,6,12.04,27.96,2,12.13,27.70
2,10.88,38.54,1,10.74,38.50,4,11.08,38.86,5,11.10,38.97,6,11.18,39.14,3,10.99,38.69
1,10.77,49.31,2,10.90,49.40,5,10.87,49.73,4,10.63,49.60,6,10.68,49.82,3,10.82,49.51
1,10.79,1:00.10,2,10.80,1:00.20,5,10.86,1:00.59,4,10.82,1:00.42,6,10.89,1:00.71,3,10.80,1:00.31
1,10.25,1:10.35,2,10.26,1:10.46,5,10.34,1:10.93,4,10.36,1:10.78,6,10.42,1:11.13,3,10.16,1:10.47
2,9.95,1:20.30,3,9.97,1:20.43,5,10.20,1:21.13,4,10.19,1:20.97,6,10.35,1:21.48,1,9.82,1:20.29
2,10.07,1:30.37,3,10.15,1:30.58,5,10.36,1:31.49,4,10.36,1:31.33,6,10.65,1:32.13,1,9.62,1:29.91
2,10.41,1:40.769,3,10.27,1:40.837,5,10.69,1:42.160,4,10.70,1:42.006,6,11.12,1:43.226,1,9.98,1:39.871
