ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,XU Hongzhi POSITION,XU Hongzhi LAP TIME,XU Hongzhi ELAPSED TIME,Cole KRUEGER POSITION,Cole KRUEGER LAP TIME,Cole KRUEGER ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,Massimo GURINI POSITION,Massimo GURINI LAP TIME,Massimo GURINI ELAPSED TIME
3,10.26,10.26,4,10.42,10.42,5,10.60,10.60,6,10.86,10.86,2,10.11,10.11,1,10.04,10.04
3,13.82,24.08,4,13.83,24.25,5,13.77,24.37,6,13.69,24.55,2,13.80,23.91,1,13.75,23.79
3,12.74,36.82,4,12.67,36.92,5,12.78,37.15,6,12.77,37.32,2,12.76,36.67,1,12.77,36.56
3,12.03,48.85,5,11.99,48.91,6,11.96,49.11,4,11.57,48.89,2,12.10,48.77,1,12.06,48.62
4,10.88,59.73,2,10.69,59.60,3,10.58,59.69,1,10.59,59.48,5,10.97,59.74,6,11.17,59.79
1,9.38,1:09.11,4,9.87,1:09.47,3,9.73,1:09.42,2,9.86,1:09.34,5,9.88,1:09.62,6,9.91,1:09.70
2,9.69,1:18.80,4,9.48,1:18.95,3,9.43,1:18.85,1,9.39,1:18.73,5,9.44,1:19.06,6,9.46,1:19.16
6,10.08,1:28.88,2,9.65,1:28.60,5,9.99,1:28.84,1,9.73,1:28.46,3,9.57,1:28.63,4,9.60,1:28.76
6,9.55,1:38.43,3,9.44,1:38.04,4,9.30,1:38.14,1,9.38,1:37.84,2,9.31,1:37.94,5,9.51,1:38.27
6,9.30,1:47.73,3,9.33,1:47.37,4,9.32,1:47.46,1,9.36,1:47.20,2,9.35,1:47.29,5,9.34,1:47.61
6,9.54,1:57.27,4,9.46,1:56.83,3,9.35,1:56.81,1,9.34,1:56.54,2,9.39,1:56.68,5,9.46,1:57.07
6,9.72,2:06.99,4,9.21,2:06.04,3,9.18,2:05.99,1,9.08,2:05.62,2,9.07,2:05.75,5,9.66,2:06.73
6,9.96,2:16.95,4,9.25,2:15.29,3,9.22,2:15.21,1,8.99,2:14.61,2,8.97,2:14.72,5,10.19,2:16.92
5,10.20,2:27.147,4,9.30,2:24.590,3,9.35,2:24.556,1,9.13,2:23.737,2,9.29,2:24.009,6,10.70,2:27.613
