Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,Alex BOISVERT-LACROIX POSITION,Alex BOISVERT-LACROIX LAP TIME,Alex BOISVERT-LACROIX ELAPSED TIME
3,6.87,6.87,1,6.44,6.44,4,7.05,7.05,2,6.66,6.66
3,8.85,15.72,1,8.72,15.16,4,8.99,16.04,2,8.78,15.45
2,8.44,24.16,1,8.37,23.54,3,8.62,24.66,4,32.65,48.11
2,8.48,32.64,1,8.90,32.44,3,8.72,33.39,4,17.91,1:06.03
1,9.12,41.751,2,9.40,41.839,3,9.05,42.438,4,9.66,1:15.681
